registration_date,nationality_e,gender_e,person_birth_year,vechile_type,manufacture_year,cylinders_num,cylinder_capacity,color,business_individual,fuel_type,transmission_manual_automatic,number_of_passenger_seating_capcity,number_of_doors,empty_weight,km_driven,next_service_date,service_frequency,customer_age,customer_id,vehicle_age,churn_risk,upgrade_probability,churn_risk_predicted,upgrade_probability_predicted
03/09/2017,Afghanistan,MALE,1986,Light Vehicle,2006,8,4300,Silver,Private,Benzene,No,5.0,4.0,1700,160000,02/03/2026 12:00,low,39,c7ced2d0-df06-4ec1-b43e-eaa89eadf942,19,1,1,0.27,1.0
16/09/2021,Afghanistan,MALE,1989,Light Vehicle,2020,8,3600,White,Private,Benzene,Yes,5.0,2.0,1200,80000,16/03/2026 12:00,medium,36,33f4b9cd-3fef-4ea7-a067-7cabf37bc8da,5,1,0,0.63,0.02
19/02/2020,Albania,MALE,1991,Light Vehicle,2009,6,3500,Blue,Private,Benzene,No,5.0,2.0,1320,100000,18/08/2025 12:00,low,34,8248ec13-d1c3-4e0f-a527-8267a5114fd3,16,1,1,0.59,1.0
17/03/2019,Algeria,MALE,1985,Light Vehicle,2018,4,1600,Black,Private,Benzene,Yes,5.0,4.0,1600,120000,13/09/2025 12:00,medium,40,8dd5306b-1b82-4585-bf2c-1af35552159d,7,0,0,0.37,0.6
06/02/2016,Algeria,MALE,1992,Light Vehicle,2014,4,2000,White,Private,Benzene,Yes,5.0,4.0,1258,180000,04/08/2025 12:00,high,33,6d72943e-8a51-442f-958d-218df67f0f87,11,0,1,0.22,1.0
06/02/2016,Armenia,MALE,1987,Light Vehicle,2009,4,2500,Silver,Private,Benzene,Yes,5.0,4.0,1400,180000,04/08/2025 12:00,low,38,ff663e23-4c2d-4e21-afbd-8acd620e77c3,16,1,1,0.18,1.0
10/06/2015,Australia,FEMALE,1980,Light Vehicle,1968,4,2000,Red,Private,Benzene,Yes,4.0,2.0,1100,200000,06/12/2025 12:00,high,45,990be002-f12f-4216-8d0a-58e8ac053cb0,57,0,1,0.24,1.0
25/01/2021,Australia,MALE,1982,Light Vehicle,2018,6,3700,White,Private,Benzene,Yes,5.0,4.0,1250,80000,25/07/2025 12:00,medium,43,78d45e2d-8772-436a-90e0-4d72b30c36e6,7,1,0,0.64,0.14
24/03/2019,Azerbaijan,MALE,1997,Light Vehicle,2000,8,5000,Silver,Private,Benzene,Yes,4.0,2.0,1000,120000,20/09/2025 12:00,low,28,aa1132e9-be38-46a5-934d-0aa72cda9acb,25,1,1,0.51,1.0
20/12/2019,Bangladesh,FEMALE,1991,Light Vehicle,2011,6,3500,Silver,Private,Benzene,Yes,7.0,4.0,2100,120000,18/06/2026 12:00,low,34,bff662d1-6efe-4f9d-b6da-2cd1b03588f5,14,1,1,0.4,1.0
